,Degree,Closeness,Betweenness,Eigenvector,Inform,nFlowBet,WEALTH,#PRIORS,#TIES
ACCIAIUOL,7.142857075,36.84210587,0,18.68943596,0.553637445,0,10,53,2
ALBIZZI,21.4285717,48.27586365,21.24542236,34.50061035,0.829746306,16.84981728,36,65,3
BARBADORI,14.28571415,43.75,9.340659142,29.93964958,0.763461709,6.959706783,55,0,14
BISCHERI,21.4285717,40,10.43956089,39.99396133,0.831879556,6.227106094,44,12,9
CASTELLAN,21.4285717,38.88888931,5.494505405,36.63184357,0.794423223,9.523809433,20,22,18
GINORI,7.142857075,33.33333206,0,10.59567356,0.482659429,0,32,0,9
GUADAGNI,28.5714283,46.66666794,25.4578743,40.88710785,0.917329013,24.90842438,8,21,14
LAMBERTES,7.142857075,32.5581398,0,12.55707073,0.511041522,0,42,0,14
MEDICI,42.8571434,56,52.1978035,60.85474014,1.064317226,53.29670334,103,53,54
PAZZI,7.142857075,28.5714283,0,6.337573528,0.393767536,0,48,0,7
PERUZZI,21.4285717,36.84210587,2.197802305,38.99416733,0.778818846,4.029304028,49,42,32
RIDOLFI,21.4285717,50,11.35531139,48.30282211,0.900551677,5.128205299,27,38,4
SALVIATI,14.28571415,38.88888931,14.28571415,20.63581276,0.59776336,14.28571415,10,35,5
STROZZI,28.5714283,43.75,10.25640965,50.3432312,0.878204823,6.593406677,146,74,29
TORNABUON,21.4285717,48.27586365,9.15750885,46.08105087,0.902345479,4.029304028,48,0,7
