Question Id,Question Title,Answered Student Count,Top Student Count,Middle Student Count,Bottom Student Count,Quiz Question Count,Correct Student Count,Wrong Student Count,Correct Student Ratio,Wrong Student Ratio,Correct Top Student Count,Correct Middle Student Count,Correct Bottom Student Count,Variance,Standard Deviation,Difficulty Index,Alpha,Point Biserial of Correct,Point Biserial of Distractor 2,Point Biserial of Distractor 3,Point Biserial of Distractor 4
9026108,"In an _____________________ matrix with people as the row objects and groups as the column objects, the row sums give us the number of groups that people belong to.",30,10,11,9,200,30,0,1.0,0.0,10,11,9,0.0,0.0,1.0,0.2484231913009408,,,,
9026109,"In an affiliation matrix with people as the row objects and groups as the column objects, the _____________________ sum(s) give us the number of groups that people belong to.",35,11,18,6,200,31,4,0.8857142857142857,0.11428571428571428,11,16,4,0.10122448979591837,0.318157963590287,0.8857142857142857,0.2484231913009408,0.4737791255384094,-0.432397408221705,,-0.17821601272157844
9026085,"

If we multiply an Am x n affiliation matrix times its transpose AT n x mthe resulting co-membership matrix C will be of dimensions:






         
         
         
         
          correct_answer"" title=""m x p. This was the correct answer."" aria-describedby=""answer_6553_arrow"">

",36,14,18,4,200,32,4,0.8888888888888888,0.1111111111111111,14,16,2,0.09876543209876544,0.3142696805273545,0.8888888888888888,0.2484231913009408,0.3667344742069485,-0.20449182991149745,,-0.35740879056725533
9026086,The _____________________ cells of the co-membership matrix tell us the number of groups each person belongs to.,42,18,15,9,200,41,1,0.9761904761904762,0.023809523809523808,18,14,9,0.023242630385487528,0.1524553389864964,0.9761904761904762,0.2484231913009408,0.07319934409083864,,,-0.07319934409083861
9026110,The _____________________ cells of the co-membership matrix tell us the number of groups that person i and person j have in common.,39,13,20,6,200,38,1,0.9743589743589743,0.02564102564102564,13,19,6,0.02498356344510191,0.15806189751202504,0.9743589743589743,0.2484231913009408,0.08765132917701467,-0.08765132917701464,,
9026088,The diagonal cells of the _____________________ matrix tell us the number of members in each group.,39,9,20,10,200,19,20,0.48717948717948717,0.5128205128205128,7,10,2,0.24983563445101906,0.4998356074261007,0.48717948717948717,0.2484231913009408,0.3657305529922096,0.11845069265944773,0.051111291846697555,-0.45223898084836384
9026112,The _____________________ cells of the group overlap matrix tell us the number of members in each group.,36,15,14,7,200,33,3,0.9166666666666666,0.08333333333333333,15,12,6,0.0763888888888889,0.27638539919628335,0.9166666666666666,0.2484231913009408,0.18487514049303477,,,-0.18487514049303475
9026111,The _____________________ cells of the group overlap matrix tell us the number of members that group i and group j have in common.,34,9,19,6,200,33,1,0.9705882352941176,0.029411764705882353,9,19,5,0.028546712802768166,0.1689577248981773,0.9705882352941176,0.2484231913009408,0.5492073629022539,,-0.5492073629022538,
9026089,The matrix operation that produces a new matrix by switching around the number of rows and the number of columns of the original matrix is called _____________________,38,17,13,8,200,38,0,1.0,0.0,17,13,8,0.0,0.0,1.0,0.2484231913009408,,,,
9028102,Affiliation networks are best represented using _____________________ graphs.,38,13,14,11,200,38,0,1.0,0.0,13,14,11,0.0,0.0,1.0,0.2484231913009408,,,,
9026066,Consider an affiliation matrix (A) with people as the row objects and groups as the column objects. Multiplying the transpose of the original AT times the original (A) returns a square matrix with groups in both the rows and columns called the _____________________ matrix.,33,11,13,9,200,24,9,0.7272727272727273,0.2727272727272727,10,7,7,0.1983471074380165,0.4453617714151233,0.7272727272727273,0.2484231913009408,0.11365224256716575,-0.11365224256716575,,
9026113,The affiliation matrix records the _____________________ relations between vertices in a bipartite graph.,44,15,19,10,200,36,8,0.8181818181818182,0.18181818181818182,13,17,6,0.1487603305785124,0.38569460791993504,0.8181818181818182,0.2484231913009408,0.30218219087985215,-0.3021821908798522,,
9027097,A bipartite graph is a graph with two _____________________ sets of nodes in which nodes link only to nodes in the other set but not with nodes in their own set,38,12,15,11,200,36,2,0.9473684210526315,0.05263157894736842,12,15,9,0.04986149584487534,0.22329687826943606,0.9473684210526315,0.2484231913009408,0.37034170184097903,-0.37034170184097887,,
9026083,Consider an affiliation matrix (A) with people as the row objects and groups as the column objects. Multiplying A times its transpose AT returns a square matrix with people in both the rows and columns called the _____________________ matrix.,33,13,10,10,200,31,2,0.9393939393939394,0.06060606060606061,13,8,10,0.05693296602387511,0.2386062992124791,0.9393939393939394,0.2484231913009408,0.040036048673015315,-0.040036048673015336,,
9026956,"In a(n) _____________________ matrix with people as the row objects and groups as the column objects, the column sums give us the number of people in each group.",40,16,15,9,200,40,0,1.0,0.0,16,15,9,0.0,0.0,1.0,0.2484231913009408,,,,
9027098,The following statement is NOT true of a bipartite graph:,32,5,18,9,200,28,4,0.875,0.125,5,15,8,0.109375,0.33071891388307384,0.875,0.2484231913009408,-0.08314109932105439,0.08314109932105439,,
9026069,The off-diagonal cells of the _____________________ matrix tell us the number of members that group i and group j have in common.,34,11,14,9,200,22,12,0.6470588235294118,0.35294117647058826,9,9,4,0.22837370242214533,0.47788461203740945,0.6470588235294118,0.2484231913009408,0.3091871656065314,-0.24486374243097392,,-0.22740272117223576
9026958,"Affiliation networks are best represented using ________________ graphs.




",27,10,14,3,200,27,0,1.0,0.0,10,14,3,0.0,0.0,1.0,0.2484231913009408,,,,
9028203,If we multiply the transpose of an affiliation matrix ATn x m by the original affiliation matrix Am x n the resulting group overlap matrix O will be of dimensions:,44,13,18,13,200,28,16,0.6363636363636364,0.36363636363636365,11,11,6,0.23140495867768596,0.48104569292083466,0.6363636363636364,0.2484231913009408,0.3298936529420981,-0.3780152712720753,0.0336010752516118,
